Main_Genre,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,studio,title,worldwide_gross,year
Action,Adventure,Drama,7.4,135,1,3,Walt Disney Pictures,Black Panther,700059566,2018
Action,Adventure,Sci-Fi,8.5,156,2,3,Walt Disney Pictures,Avengers: Infinity War,678815482,2018
Animation,Action,Adventure,7.8,118,3,2,Pixar,Incredibles 2,608581744,2018
Action,Adventure,Drama,6.2,129,4,3,Universal Pictures,Jurassic World: Fallen Kingdom,416769345,2018
Action,Comedy,NA,7.8,119,5,4,20th Century Fox,Deadpool 2,318491426,2018
Action,Adventure,Drama,7.9,147,6,3,Paramount Pictures,Mission: Impossible - Fallout,220159104,2018
Action,Comedy,NA,7.2,118,7,3,Walt Disney Pictures,Ant-Man and the Wasp,216648740,2018
Action,Adventure,Drama,7,135,8,3,Walt Disney Pictures,Solo: A Star Wars Story,213767512,2018
Action,Adventure,Drama,6.9,112,9,3,Columbia Pictures,Venom,213030843,2018
Music,Drama,NA,8.1,135,10,4,Warner Bros,A Star is Born ,199721727,2018
Action,Adventure,Drama,7.2,152,1,3,Walt Disney Pictures,Star Wars: The Last Jedi,620181382,2017
Music,Drama,NA,7.2,129,2,2,Walt Disney Pictures,Beauty and the Beast ,504014165,2017
Action,Adventure,Drama,7.5,141,3,3,Warner Bros,Wonder Woman,412563408,2017
Action,Adventure,Comedy,7,112,4,3,Sony Pictures,Jumanji: Welcome to the Jungle,404515480,2017
Action,Adventure,Comedy,7.7,137,5,3,Walt Disney Pictures,Guardians of the Galaxy Vol. 2,389813101,2017
Action,Adventure,Drama,7.5,133,6,3,Sony Pictures,Spider-Man: Homecoming,334201140,2017
Horror,Drama,Mystery,7.4,135,7,4,Warner Bros,It,327481748,2017
Action,Adventure,Drama,7.9,130,8,3,Walt Disney Pictures,Thor: Ragnarok,315058289,2017
Animation,Comedy,NA,6.3,90,9,2,Universal Pictures,Despicable Me 3,264624300,2017
Action,Adventure,Drama,6.5,110,10,3,Warner Bros,Justice League,229024295,2017
Action,Adventure,Drama,7.8,133,1,3,Walt Disney Pictures,Rogue One: A Star Wars Story,532177324,2016
Animation,Family,NA,7.3,100,2,2,Walt Disney Pictures,Finding Dory,486295561,2016
Action,Adventure,Sci-Fi,7.8,146,3,3,Walt Disney Pictures,Captain America: Civil War,408084349,2016
Animation,Comedy,NA,6.5,90,4,2,Universal Pictures,The Secret Life of Pets,368384330,2016
Action,Adventure,Family,7.4,111,5,2,Walt Disney Pictures,The Jungle Book ,364001123,2016
Action,Comedy,Adventure,8,103,6,4,20th Century Fox,Deadpool,363070709,2016
Animation,Action,Adventure,8,108,7,2,Walt Disney Pictures,Zootopia,341268248,2016
Action,Adventure,Sci-Fi,6.5,151,8,3,Warner Bros,Batman v Superman: Dawn of Justice,330360194,2016
Action,Adventure,NA,6.1,123,9,3,Warner Bros,Suicide Squad,325100054,2016
Animation,Music,Comedy,7.1,108,10,2,Universal Pictures,Sing,270395425,2016
Action,Adventure,Fantasy,8,136,1,3,Walt Disney Pictures,Star Wars: The Force Awakens,936662225,2015
Action,Adventure,Mystery,7,123,2,3,Universal Pictures,Jurassic World,652270625,2015
Action,Adventure,Sci-Fi,7.4,141,3,3,Walt Disney Pictures,Avengers: Age of Ultron,459005868,2015
Animation,Family,NA,8.2,94,4,2,Pixar,Inside Out,356461711,2015
Action,Adventure,Mystery,7.2,140,5,3,Universal Pictures,Furious 7,353007020,2015
Animation,Comedy,Family,6.4,91,6,2,Universal Pictures,Minions,336045770,2015
Action,Adventure,Fantasy,6.6,137,7,3,Lionsgate Films,The Hunger Games: Mockingjay - Part 2,281723902,2015
Sci-Fi,Fantasy,NA,8,164,8,3,20th Century Fox,The Martian,228433663,2015
Romance,Fantasy,NA,6.9,105,9,2,Walt Disney Pictures,Cinderella,201151353,2015
Action,Adventure,NA,6.8,150,10,3,Sony Pictures,Spectre,200074609,2015
Sci-Fi,Adventure,Action,5.8,165,1,3,Paramount Pictures,Transformers: Age of Extinction,1091404499,2014
Fantasy,Adventure,NA,7.5,144,2,3,Warner Bros,The Hobbit: The Battle of the Five Armies,955113783,2014
Sci-Fi,Adventure,Action,8.1,121,3,3,Walt Disney Pictures,Guardians of the Galaxy,774176600,2014
Fantasy,Adventure,Action,7.1,97,4,2,Walt Disney Pictures,Maleficent,758654942,2014
Sci-Fi,Adventure,NA,6.8,123,5,3,Lionsgate Films,The Hunger Games: Mockingjay - Part 1,752100229,2014
Sci-Fi,Adventure,Action,8.1,131,6,3,20th Century Fox,X-Men: Days of Future Past,748121534,2014
Sci-Fi,Adventure,Action,7.8,136,7,3,Walt Disney Pictures,Captain America: The Winter Soldier,714766572,2014
Fantasy,Adventure,Action,6.9,142,8,3,Columbia Pictures,The Amazing Spider-Man 2,709582323,2014
Sci-Fi,Drama,Action,7.7,130,9,3,20th Century Fox,Dawn of the Planet of the Apes,708835589,2014
Sci-Fi,Adventure,NA,8.7,169,10,3,Paramount Pictures,Interstellar,672974414,2014
Comedy,Animation,Adventure,7.7,102,1,2,Walt Disney Pictures,Frozen,1274219009,2013
Sci-Fi,Adventure,Action,7.3,130,2,3,Walt Disney Pictures,Iron Man 3,1215439994,2013
Animation,Comedy,Animation,7.5,98,3,2,Universal Pictures,Despicable Me 2,970761885,2013
Fantasy,Adventure,NA,8,161,4,3,Warner Bros,The Hobbit: The Desolation of Smaug,960366855,2013
Adventure,Sci-Fi,NA,7.7,146,5,3,Lionsgate Films,The Hunger Games: Catching Fire,864912963,2013
Thriller,Crime,Action,7.2,130,6,3,Universal Pictures,Fast & Furious 6,788679850,2013
Comedy,Animation,Adventure,7.4,104,7,1,Walt Disney Pictures,Monsters University,743559607,2013
Thriller,Sci-Fi,Western,7.9,91,8,3,Warner Bros,Gravity,716392705,2013
Fantasy,Adventure,Action,7.2,143,9,3,Warner Bros,Man of Steel,668045518,2013
Fantasy,Adventure,Action,7.1,112,10,3,Walt Disney Pictures,Thor: The Dark World,644783140,2013
Sci-Fi,Adventure,Action,8.2,143,1,3,Walt Disney Pictures,The Avengers,1518594910,2012
Thriller,Adventure,Action,7.8,143,2,3,Metro-Goldwyn-Mayer,Skyfall,1108561013,2012
Thriller,Action,NA,8.5,165,3,3,Warner Bros,The Dark Knight Rises,1084439099,2012
Fantasy,Adventure,NA,8,169,4,3,Warner Bros,The Hobbit: An Unexpected Journey,1017003568,2012
Comedy,Animation,Adventure,6.7,88,5,2,20th Century Fox,Ice Age: Continental Drift,877244782,2012
Fantasy,Drama,Adventure,5.6,115,6,3,Lionsgate Films,The Twilight Saga: Breaking Dawn - Part 2,829685377,2012
Fantasy,Adventure,Action,7.1,136,7,3,Columbia Pictures,The Amazing Spider-Man,757930663,2012
Comedy,Adventure,Animation,7,93,8,2,Paramount Pictures,Madagascar 3: Europe's Most Wanted,746921274,2012
Sci-Fi,Adventure,NA,7.3,142,9,3,Lionsgate Films,The Hunger Games,691247768,2012
Sci-Fi,Comedy,Action,6.9,106,10,3,Columbia Pictures,Men in Black 3,624026776,2012
Thriller,Fantasy,Adventure,8.1,130,1,3,Warner Bros,Harry Potter and the Deathly Hallows - Part 2,1341511219,2011
Sci-Fi,Adventure,Action,6.3,154,2,3,Paramount Pictures,Transformers: Dark of the Moon,1123794079,2011
Fantasy,Adventure,Action,6.7,136,3,3,Walt Disney Pictures,Pirates of the Caribbean: On Stranger Tides,1045713802,2011
Fantasy,Drama,Adventure,4.9,117,4,3,Lionsgate Films,The Twilight Saga: Breaking Dawn - Part 1,712171856,2011
Thriller,Adventure,Action,7.4,133,5,3,Paramount Pictures,Mission: Impossible - Ghost Protocol,694713380,2011
Animation,Adventure,Action,7.3,91,6,2,Paramount Pictures,Kung Fu Panda 2,665692281,2011
Thriller,Crime,Action,7.3,131,7,3,Universal Pictures,Fast Five,626137675,2011
Comedy,NA,NA,6.5,102,8,4,Warner Bros,The Hangover Part II,586764305,2011
Comedy,Animation,Adventure,5.5,103,9,2,Columbia Pictures,The Smurfs,563749323,2011
Comedy,Animation,Adventure,6.3,106,10,1,Walt Disney Pictures,Cars 2,559852396,2011
Comedy,Animation,Adventure,8.4,103,1,1,Walt Disney Pictures,Toy Story 3,1063171911,2010
Fantasy,Family,Adventure,6.5,108,2,2,Walt Disney Pictures,Alice in Wonderland,1025467110,2010
Fantasy,Family,Adventure,7.7,146,3,3,Warner Bros,Harry Potter and the Deathly Hallows - Part 1,960283305,2010
Sci-Fi,Mystery,Action,8.8,148,4,3,Warner Bros,Inception,825531030,2010
Comedy,Animation,Adventure,6.4,93,5,2,Paramount Pictures,Shrek Forever After,752600867,2010
Fantasy,Drama,Adventure,4.9,124,6,3,Lionsgate Films,The Twilight Saga: Eclipse,698491347,2010
Sci-Fi,Adventure,Action,7.1,124,7,3,Paramount Pictures,Iron Man 2,623933331,2010
Animation,Comedy,Animation,7.8,100,8,2,Walt Disney Pictures,Tangled,591794936,2010
Animation,Comedy,Animation,7.7,95,9,2,Universal Pictures,Despicable Me,543113985,2010
Animation,Animation,Adventure,8.2,98,10,2,Paramount Pictures,How to Train Your Dragon,494878759,2010
Fantasy,Adventure,Action,7.9,162,1,3,20th Century Fox,Avatar,2749064328,2009
Fantasy,Family,Adventure,7.5,153,2,2,Warner Bros,Harry Potter and the Half-Blood Prince,934416487,2009
Animation,Adventure,Action,7,94,3,2,20th Century Fox,Ice Age: Dawn of the Dinosaurs,886686817,2009
Sci-Fi,Adventure,Action,6,150,4,3,Paramount Pictures,Transformers: Revenge of the Fallen,836303693,2009
Sci-Fi,Adventure,Action,5.8,158,5,3,Columbia Pictures,2012,769304749,2009
Comedy,Animation,Adventure,8.3,96,6,2,Pixar,Up,731342744,2009
Fantasy,Drama,Adventure,4.6,130,7,3,Lionsgate Films,The Twilight Saga: New Moon,709827462,2009
Crime,Adventure,Action,7.6,128,8,3,Warner Bros,Sherlock Holmes,524028679,2009
Thriller,Mystery,NA,6.7,138,9,3,Columbia Pictures,Angels & Demons,485930816,2009
Comedy,NA,NA,7.8,100,10,4,Warner Bros,The Hangover,467483912,2009
Drama,Crime,Action,9,152,1,3,Warner Bros,The Dark Knight,997000000,2008
Adventure,Action,NA,6.2,122,2,3,Paramount Pictures,Indiana Jones and the Kingdom of the Crystal Skull,786636033,2008
Animation,Adventure,Action,7.6,92,3,2,Paramount Pictures,Kung Fu Panda,631744560,2008
Fantasy,Action,NA,6.5,92,4,3,Columbia Pictures,Hancock,624386746,2008
Romance,Musical,Comedy,6.4,108,5,3,Universal Pictures,Mamma Mia!,609827661,2008
Animation,Adventure,Action,6.7,89,6,2,Paramount Pictures,Madagascar: Escape 2 Africa,603900354,2008
Adventure,Action,NA,6.7,106,7,3,Metro-Goldwyn-Mayer,Quantum of Solace,586090727,2008
Sci-Fi,Adventure,Action,7.9,126,8,3,Paramount Pictures,Iron Man,585174222,2008
Animation,Animation,Adventure,8.4,98,9,1,Pixar,WALL-E,521311860,2008
Family,Adventure,Action,6.6,150,10,2,Walt Disney Pictures,The Chronicles of Narnia: Prince Caspian,419665568,2008
Fantasy,Adventure,Action,7.1,169,1,3,Walt Disney Pictures,Pirates of the Caribbean: At World's End,963420425,2007
Fantasy,Family,Adventure,7.4,138,2,3,Warner Bros,Harry Potter and the Order of the Phoenix,939885929,2007
Adventure,Action,NA,6.2,139,3,3,Columbia Pictures,Spider-Man 3,890871626,2007
Comedy,Animation,Adventure,6.1,93,4,2,DreamWorks,Shrek the Third,798958162,2007
Sci-Fi,Adventure,Action,7.2,144,5,3,DreamWorks,Transformers,709709780,2007
Animation,Comedy,Animation,8,111,6,1,Pixar,Ratatouille,623707397,2007
Thriller,Sci-Fi,Drama,7.2,101,7,3,Warner Bros,I Am Legend,585349010,2007
Comedy,Animation,Adventure,7.4,87,8,3,20th Century Fox,The Simpsons Movie,527071022,2007
Thriller,Adventure,Action,6.5,124,9,2,Walt Disney Pictures,National Treasure: Book of Secrets,457364600,2007
War,Fantasy,Action,7.8,117,10,4,Warner Bros,300,456068181,2007
Fantasy,Adventure,Action,7.3,151,1,3,Walt Disney Pictures,Pirates of the Caribbean: Dead Man's Chest,1066179725,2006
Thriller,Mystery,NA,6.5,149,2,3,Columbia Pictures,The Da Vinci Code,758239851,2006
Animation,Adventure,Action,6.9,91,3,2,20th Century Fox,Ice Age: The Meltdown,660940780,2006
Thriller,Adventure,Action,8,144,4,3,Metro-Goldwyn-Mayer,Casino Royale,599045960,2006
Comedy,Adventure,Action,6.4,108,5,2,20th Century Fox,Night at the Museum,574480052,2006
Comedy,Animation,Adventure,7.2,117,6,1,Pixar,Cars,461983149,2006
Sci-Fi,Adventure,Action,6.8,104,7,3,20th Century Fox,X-Men: The Last Stand,459359555,2006
Thriller,Adventure,Action,6.8,126,8,3,Paramount Pictures,Mission: Impossible III,397850012,2006
Fantasy,Adventure,Action,6.1,154,9,3,Warner Bros,Superman Returns,391081192,2006
Animation,Comedy,Animation,6.5,108,10,2,Warner Bros,Happy Feet,384335608,2006
Fantasy,Family,Adventure,7.6,157,1,3,Warner Bros,Harry Potter and the Goblet of Fire,895921036,2005
Fantasy,Adventure,Action,7.7,140,2,3,20th Century Fox,Star Wars Episode III: Revenge of the Sith,848754768,2005
Fantasy,Family,Adventure,6.9,143,3,2,Walt Disney Pictures,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,745011272,2005
Thriller,Sci-Fi,Adventure,6.5,116,4,3,Paramount Pictures,War of the Worlds,591745540,2005
Drama,Adventure,Action,7.3,187,5,3,Universal Pictures,King Kong,550517357,2005
Comedy,Animation,Adventure,6.9,86,6,2,DreamWorks,Madagascar,532680671,2005
Crime,Comedy,Action,6.5,120,7,3,20th Century Fox,Mr. & Mrs. Smith,478207520,2005
Comedy,Adventure,Family,6.7,115,8,2,Warner Bros,Charlie and the Chocolate Factory,474968763,2005
Adventure,Action,NA,8.3,140,9,3,Warner Bros,Batman Begins,372710015,2005
Romance,Comedy,NA,6.7,118,10,3,Columbia Pictures,Hitch,368100420,2005
Comedy,Animation,Adventure,7.2,93,1,2,DreamWorks,Shrek 2,919838758,2004
Fantasy,Family,Adventure,7.8,142,2,2,Warner Bros,Harry Potter and the Prisoner of Azkaban,795634069,2004
Adventure,Action,NA,7.3,127,3,3,Columbia Pictures,Spider-Man 2,783766341,2004
Animation,Adventure,Action,8,115,4,2,Pixar,The Incredibles,631442092,2004
Drama,NA,NA,7.1,127,5,4,Newmarket Films,The Passion of the Christ,611899420,2004
Sci-Fi,Adventure,Action,6.4,124,6,3,20th Century Fox,The Day After Tomorrow,544272402,2004
Romance,Comedy,NA,6.3,115,7,3,Universal Pictures,Meet the Fockers,516642939,2004
Adventure,NA,NA,7.2,163,8,4,Warner Bros,Troy,497409852,2004
Comedy,Adventure,Animation,6,90,9,2,DreamWorks,Shark Tale,367275019,2004
Thriller,Crime,NA,6.4,125,10,3,Warner Bros,Ocean's Twelve,362744280,2004
Fantasy,Adventure,Western,8.9,201,1,3,Warner Bros,The Lord of the Rings: The Return of the King,1119929521,2003
Comedy,Animation,Adventure,8.2,100,2,1,Pixar,Finding Nemo,867893978,2003
Sci-Fi,Action,NA,7.2,138,3,4,Warner Bros,The Matrix Reloaded,742128461,2003
Fantasy,Adventure,NA,8.1,143,4,3,Walt Disney Pictures,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,2003
Fantasy,Drama,Comedy,6.7,101,5,3,Universal Pictures,Bruce Almighty,484592874,2003
History,Drama,Action,7.7,154,6,4,Warner Bros,The Last Samurai,456758981,2003
Sci-Fi,Action,NA,6.4,109,7,4,Warner Bros,Terminator 3: Rise of the Machines,433371112,2003
Sci-Fi,Action,NA,6.7,129,8,4,Warner Bros,The Matrix Revolutions,427343298,2003
Sci-Fi,Adventure,Action,7.5,134,9,3,20th Century Fox,X2,407711549,2003
Crime,Comedy,Action,6.5,147,10,4,Columbia Pictures,Bad Boys II,273339556,2003
Fantasy,Adventure,NA,8.7,179,1,3,Warner Bros,The Lord of the Rings: The Two Towers,926287400,2002
Fantasy,Family,Adventure,7.3,161,2,2,Warner Bros,Harry Potter and the Chamber of Secrets,878643482,2002
Adventure,Action,NA,7.3,121,3,3,Columbia Pictures,Spider-Man,821708551,2002
Fantasy,Adventure,Action,6.7,142,4,2,20th Century Fox,Star Wars Episode II: Attack of the Clones,649398328,2002
Fantasy,Comedy,Action,6,88,5,3,Columbia Pictures,Men in Black II,441818803,2002
Crime,Adventure,Action,6.1,133,6,3,Metro-Goldwyn-Mayer,Die Another Day,431971116,2002
Thriller,Sci-Fi,Drama,6.7,106,7,3,Walt Disney Pictures,Signs,408247917,2002
Comedy,Animation,Adventure,7.6,81,8,2,20th Century Fox,Ice Age,383257136,2002
Romance,Comedy,NA,6.6,95,9,2,IFC Films,My Big Fat Greek Wedding,368744044,2002
Sci-Fi,Mystery,Action,7.7,145,10,3,DreamWorks,Minority Report,358372926,2002
Fantasy,Family,Adventure,7.5,152,1,2,Warner Bros,Harry Potter and the Sorcerer's Stone,974733550,2001
Fantasy,Adventure,NA,8.8,178,2,3,Warner Bros,The Lord of the Rings: The Fellowship of the Ring,870761744,2001
Comedy,Animation,Adventure,8.1,92,3,1,Pixar,Monsters Inc.,525366597,2001
Comedy,Animation,Adventure,7.9,90,4,2,DreamWorks,Shrek,484409218,2001
Thriller,Crime,NA,7.8,116,5,3,Warner Bros,Ocean's Eleven,450717150,2001
Romance,Drama,Action,6,183,6,3,Walt Disney Pictures,Pearl Harbor,449220945,2001
Fantasy,Adventure,Action,6.3,130,7,3,Universal Pictures,The Mummy Returns,433013274,2001
Sci-Fi,Adventure,Action,5.9,92,8,3,Universal Pictures,Jurassic Park III,368780809,2001
Sci-Fi,Adventure,Action,5.7,119,9,3,20th Century Fox,Planet of the Apes,362211740,2001
Thriller,Drama,Crime,6.7,131,10,4,Metro-Goldwyn-Mayer,Hannibal,351692268,2001
Thriller,Adventure,Action,6,123,1,3,Paramount Pictures,Mission: Impossible II,546388105,2000
Drama,Action,NA,8.5,155,2,4,DreamWorks,Gladiator,457640427,2000
Drama,Adventure,NA,7.7,143,3,3,20th Century Fox,Cast Away,429632142,2000
Romance,Fantasy,Comedy,6.4,127,4,3,Paramount Pictures,What Women Want,374111707,2000
Animation,Animation,Adventure,6.4,82,5,2,Walt Disney Pictures,Dinosaur,349822765,2000
Fantasy,Family,Comedy,6,104,6,2,Universal Pictures,How the Grinch Stole Christmas,345141403,2000
Comedy,NA,NA,7,108,7,3,Universal Pictures,Meet the Parents,330444045,2000
Drama,Adventure,Action,6.4,130,8,3,Warner Bros,The Perfect Storm,328718434,2000
Sci-Fi,Adventure,Action,7.4,104,9,3,20th Century Fox,X-Men,296339527,2000
Thriller,Horror,Drama,6.6,130,10,3,DreamWorks,What Lies Beneath,291420351,2000
Fantasy,Adventure,Action,6.6,136,1,2,20th Century Fox,Star Wars Episode I: The Phantom Menace,924317558,1999
Thriller,Mystery,Drama,8.2,107,2,3,Walt Disney Pictures,The Sixth Sense,672806292,1999
Comedy,Animation,Adventure,7.9,92,3,1,Walt Disney Pictures,Toy Story 2,485015179,1999
Sci-Fi,Action,NA,8.7,136,4,4,Warner Bros,The Matrix,460379930,1999
Drama,Animation,Adventure,7.2,88,5,1,Walt Disney Pictures,Tarzan,448191819,1999
Fantasy,Adventure,Action,7,125,6,3,Universal Pictures,The Mummy,415933406,1999
Romance,Drama,Comedy,7,124,7,3,Universal Pictures,Notting Hill,363889678,1999
Crime,Adventure,Action,6.4,128,8,3,Metro-Goldwyn-Mayer,The World Is Not Enough,361832400,1999
Romance,Drama,NA,8.4,122,9,4,DreamWorks,American Beauty,356296601,1999
Comedy,Adventure,Action,6.6,95,10,3,Warner Bros,Austin Powers: The Spy Who Shagged Me,312016858,1999
Sci-Fi,Adventure,Action,6.6,151,1,3,Walt Disney Pictures,Armageddon,553709788,1998
War,Drama,Action,8.6,169,2,4,DreamWorks,Saving Private Ryan,481840909,1998
Thriller,Sci-Fi,Action,5.3,139,3,3,Sony Pictures,Godzilla,379014294,1998
Romance,Comedy,NA,7.1,119,4,4,20th Century Fox,There's Something About Mary,369884651,1998
Comedy,Animation,Adventure,7.2,95,5,1,Walt Disney Pictures,A Bug's Life,363398565,1998
Sci-Fi,Drama,Action,6.1,120,6,3,DreamWorks,Deep Impact,349464664,1998
Family,Animation,Adventure,7.5,88,7,1,Walt Disney Pictures,Mulan,304320254,1998
Fantasy,Family,Comedy,5.3,85,8,3,20th Century Fox,Dr. Dolittle,294456605,1998
Romance,Drama,Comedy,7.2,123,9,4,Universal Pictures,Shakespeare in Love,289317794,1998
